firstname,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,company,ou
Lakisha,Dennis,Ldennis,Ldennis@comp2017.local,2740 Liberty Street,Dallas,75202,TX,US,Managers,Password01,214-800-4811,comp2017-#### Corporation,"OU=Managers,DC=comp2017-####,DC=local"
Colin,Hunt,Chunt,Chunt@comp2017.local,123 Fron St. W,Toronto,M5J 2M2,ON,CA,Managers,Password01,416-123-1234,comp2017-#### Corporation,"OU=Managers,DC=comp2017-####,DC=local"
Hanz,Bond,Hbond,Hbond@comp2017.local,2740 Liberty Street,Dallas,75202,TX,US,Marketing,Password01,214-800-4813,comp2017-#### Corporation,"OU=Marketing,DC=comp2017-####,DC=local"
Kaely,Zorgel,Kzorgel,Kzorgel@comp2017.local,123 Fron St. W,Toronto,75202,ON,US,Marketing,Password01,416-123-1234,comp2017-#### Corporation,"OU=Marketing,DC=comp2017-####,DC=local"
Kent,Wilson,Kwilson,Kwilson@comp2017.local,2740 Liberty Street,Dallas,75202,TX,US,Research,Password01,214-800-4815,comp2017-#### Corporation,"OU=Research,DC=comp2017-####,DC=local"
Scott,Preuss,Spreuss,Spreuss@comp2017.local,2740 Liberty Street,Dallas,75202,TX,US,Research,Password01,214-800-4816,comp2017-#### Corporation,"OU=Research,DC=comp2017-####,DC=local"
Adam,Hobbs,Ahobbs,Ahobbs@comp2017.local,2740 Liberty Street,Dallas,75202,TX,US,Research,Password01,214-800-4816,comp2017-#### Corporation,"OU=Research,DC=comp2017-####,DC=local"
Kate,Yorke,Kyorke,Kyorke@comp2017.local,2740 Liberty Street,Dallas,75202,TX,US,IT,Password01,214-800-4817,comp2017-#### Corporation,"OU=IT,DC=comp2017-####,DC=local"
Kaitlan,Ing,King,King@comp2017.local,2740 Liberty Street,Dallas,75202,TX,US,IT,Password01,214-800-4818,comp2017-#### Corporation,"OU=IT,DC=comp2017-####,DC=local"
Chris,Starling,Cstarling,Cstarling@comp2017.local,123 Fron St. W,Toronto,M5J 2M2,ON,CA,IT,Password01,416-123-1234,comp2017-#### Corporation,"OU=IT,DC=comp2017-####,DC=local"
